Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11
0.735,-0.495847416038264,-0.420174880651146,-0.294980611707821,-0.0883461455447263,-0.307171222853451,-0.497830571187745,0.239224566625261,0.221156195088046,0.347172790808855,0.208912439428767
0.75,-0.495859144297813,-0.420186333169808,-0.294991787937804,-0.0883570449897956,-0.307181845049597,-0.497834956405993,0.239220261273809,0.22115196978765,0.34716864572121,0.208908374699551
0.765,-0.495872524876665,-0.420199422070904,-0.295004584289538,-0.0883695480366366,-0.30719405413204,-0.497839831083774,0.239215470012092,0.22114726224782,0.347164022165385,0.208903835352588
0.78,-0.49588764842376,-0.420214239746335,-0.295019094678282,-0.0883837499061712,-0.30720794641352,-0.497845214368911,0.239210173087077,0.221142052179608,0.347158899386325,0.208898800236458
0.795,-0.495904592260491,-0.420230866102032,-0.2950354013729,-0.0883997350039986,-0.307223608207567,-0.49785112085244,0.239204355048741,0.221136323340208,0.347153260417064,0.208893251730517
0.81,-0.495923415382809,-0.420249363564108,-0.295053570028544,-0.0884175720021216,-0.307241110981574,-0.497857559095481,0.239198006235613,0.221130065024494,0.347147093569714,0.208887177228729
0.825,-0.495944153752615,-0.420269772284698,-0.295073644829379,-0.0884373089414823,-0.307260506442495,-0.49786453032345,0.239191124118199,0.221123273440017,0.347140393835742,0.208880570558717
0.84,-0.495966816409216,-0.420292106078839,-0.295095644271134,-0.0884589688815132,-0.307281822075625,-0.497872027433549,0.23918371435297,0.221115952817284,0.347133164046996,0.208873433187666
0.855,-0.495991382896645,-0.420316349597969,-0.295119558096945,-0.0884825466159518,-0.307305057659409,-0.497880034445076,0.239175791413692,0.221108116118841,0.347125415658231,0.208865775073566
0.87,-0.496017802413303,-0.420342457165264,-0.295145345828789,-0.0885080069125369,-0.307330183227304,-0.497888526492269,0.239167378694489,0.221099785236054,0.347117169034907,0.208857615040836
0.885,-0.496045994952468,-0.420370353567629,-0.295172937214328,-0.0885352846200838,-0.307357138842411,-0.49789747041771,0.239158508018933,0.221090990600439,0.347108453165994,0.208848980593315
0.9,-0.496075854527843,-0.420399936929758,-0.295202234745218,-0.088564286828803,-0.307385836399632,-0.497906825973675,0.239149218538818,0.221081770184481,0.347099304768165,0.208839907122587
0.915,-0.496107254384858,-0.420431083604058,-0.295233118213688,-0.0885948970835695,-0.307416163487659,-0.497916547583313,0.239139555061369,0.221072167921297,0.347089766801432,0.208830436522547
0.93,-0.496140053907045,-0.420463654816878,-0.29526545107968,-0.0886269814547888,-0.307447989148235,-0.49792658655849,0.23912956589915,0.221062231628406,0.347079886472351,0.208820615277069
0.945,-0.496174106759913,-0.420497504638923,-0.295299088243299,-0.0886603960897563,-0.307481171184798,-0.497936893623026,0.239119300386695,0.221052010571971,0.347069712853193,0.208810492140981
0.96,-0.496209269693689,-0.420532488717707,-0.295333884678968,-0.0886949957213805,-0.307515564519629,-0.497947421555754,0.239108806244919,0.221041552847428,0.347059294287284,0.208800115578285
0.975,-0.49624541136765,-0.420568473139956,-0.295369704306986,-0.088730642520138,-0.307551029997842,-0.497958127753311,0.239098126992476,0.221030902773887,0.347048675775327,0.208789531149201
0.99,-0.496282420570531,-0.420605342791801,-0.295406428466322,-0.0887672146517809,-0.307587443001999,-0.497968976521272,0.239087299598443,0.221020098498767,0.347037896540352,0.208778779043925
1.005,-0.496320213290732,-0.420643008653236,-0.295443963410338,-0.0888046139501548,-0.307624701276862,-0.497979940933349,0.239076352543065,0.221009169985008,0.34702698794837,0.208767891944136
1.02,-0.496358738221827,-0.420681413587754,-0.295482246363513,-0.0888427722222936,-0.307662731462619,-0.497991004146619,0.239065304407369,0.220998137509862,0.347015971921325,0.208756893355634
1.035,-0.496397980449103,-0.420720536345374,-0.295521249830719,-0.0888816558517431,-0.307701493978174,-0.498002160117222,0.239054163056665,0.220987010749551,0.347004859925539,0.20874579650391
1.05,-0.49643796322359,-0.420760393659755,-0.295560984013841,-0.0889212685291144,-0.307740986058069,-0.498013413715463,0.239042925427513,0.220975788467981,0.346993652562568,0.208734603828201
1.065,-0.496478747865703,-0.420801040461282,-0.295601497336521,-0.0889616520888162,-0.307781242899656,-0.498024780282968,0.239031577881718,0.220964458779806,0.346982339739793,0.208723307058689
1.08,-0.496520431934329,-0.420842568329387,-0.295642875186334,-0.0890028855461309,-0.307822336998435,-0.498036284702453,0.239020097060326,0.220952999924794,0.346970901362239,0.208711887823351
1.095,-0.496563145843484,-0.420885102361341,-0.295685237045402,-0.0890450824980189,-0.307864375826039,-0.49804796006193,0.239008451156637,0.220941381473926,0.346959308467966,0.208700318709203
1.11,-0.496607048114453,-0.420928796646392,-0.295728732198177,-0.0890883870751547,-0.307907498036002,-0.498059845993511,0.238996601527198,0.220929565885658,0.346947524725306,0.208688564696504
1.125,-0.496652319432286,-0.420973828517829,-0.295773534192149,-0.0891329686234677,-0.307951868377375,-0.498071986758365,0.238984504567656,0.220917510337822,0.346935508216231,0.208676584889215
1.14,-0.496699155652802,-0.421020391731964,-0.295819834203314,-0.0891790152698272,-0.307997671473509,-0.498084429140908,0.238972113789339,0.220905168769937,0.346923213439532,0.208664334474348
1.155,-0.496747759900221,-0.421068688712907,-0.295867833444582,-0.0892267265097522,-0.308045104603925,-0.49809722021276,0.238959382036255,0.220892494075744,0.346910593473597,0.208651766849878
1.17,-0.496798333921914,-0.421118922022302,-0.295917734769602,-0.0892763049637024,-0.308094369630613,-0.49811040503375,0.238946263777144,0.220879440382353,0.346897602236807,0.208638835860659
1.185,-0.496851068931922,-0.421171285271823,-0.295969733676599,-0.0893279474939347,-0.308145664248833,-0.498124024373122,0.238932717392706,0.220865965339391,0.346884196772131,0.208625498072081
1.2,-0.496906136273446,-0.421225953790187,-0.29602400900546,-0.089381835956816,-0.308199172819288,-0.498138112554968,0.238918707357671,0.220852032321776,0.346870339463691,0.208611714993449
1.215,-0.496963678344329,-0.421283075469443,-0.296080713732549,-0.089438127974058,-0.30825505714361,-0.498152695550701,0.238904206197666,0.220837612429396,0.346856000072376,0.20859745514242
1.23,-0.497023800329533,-0.421342762319949,-0.296139966375847,-0.0894969482166809,-0.308313447656517,-0.498167789449234,0.23888919609058,0.220822686154562,0.346841157463355,0.208582695826005
